question,votes,tags
What does the “yield” keyword do?,"10296
votes",python iterator generator yield coroutine
What does if __name__ == “__main__”: do?,"6135
votes",python namespaces main python-module idioms
Does Python have a ternary conditional operator?,"6115
votes",python operators ternary-operator conditional-operator
What are metaclasses in Python?,"5755
votes",python oop metaclass python-datamodel
How do I check whether a file exists without exceptions?,"5660
votes",python file file-exists
Calling an external command from Python,"4934
votes",python shell terminal subprocess command
How do I merge two dictionaries in a single expression in Python?,"4879
votes",python dictionary merge
How can I safely create a nested directory?,"4293
votes",python exception path directory operating-system
Accessing the index in 'for' loops?,"3652
votes",python loops list
Difference between staticmethod and classmethod,"3622
votes",python oop methods python-decorators
Does Python have a string 'contains' substring method?,"3599
votes",python string substring contains
How do I list all files of a directory?,"3472
votes",python directory
How to make a flat list out of list of lists?,"3451
votes",python list multidimensional-array flatten
How do I sort a dictionary by value?,"3422
votes",python sorting dictionary
Understanding slice notation,"3345
votes",python list slice iterable
Finding the index of an item in a list,"3236
votes",python list indexing
How do I check if a list is empty?,"3234
votes",python list
Iterating over dictionaries using 'for' loops,"3180
votes",python python-2.7 dictionary
Using global variables in a function,"3144
votes",python global-variables scope
What is the difference between Python's list methods append and extend?,"3116
votes",python list data-structures append extend
How to get the current time in Python,"2939
votes",python datetime time
Catch multiple exceptions in one line (except block),"2790
votes",python exception exception-handling
How to make a chain of function decorators?,"2766
votes",python decorator python-decorators
How can I make a time delay in Python? [duplicate],"2766
votes",python delay sleep timedelay
Difference between __str__ and __repr__?,"2755
votes",python magic-methods repr
Check if a given key already exists in a dictionary,"2683
votes",python dictionary
How can I add new keys to a dictionary?,"2659
votes",python dictionary lookup
How do I pass a variable by reference?,"2658
votes",python reference parameter-passing pass-by-reference
“Least Astonishment” and the Mutable Default Argument,"2614
votes",python language-design default-parameters least-astonishment
List changes unexpectedly after assignment. How do I clone or copy it to prevent this?,"2592
votes",python list copy clone
How do I concatenate two lists in Python?,"2575
votes",python list concatenation
Understanding Python super() with __init__() methods [duplicate],"2555
votes",python class oop inheritance super
How to install pip on Windows?,"2549
votes",python windows installation pip easy-install
How do I copy a file in Python?,"2536
votes",python file copy filesystems file-copying
What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,"2387
votes",python syntax parameter-passing variadic-functions argument-unpacking
What is __init__.py for?,"2375
votes",python module package python-packaging
Convert bytes to a string,"2374
votes",python string python-3.x
Manually raising (throwing) an exception in Python,"2305
votes",python exception
How do you split a list into evenly sized chunks?,"2303
votes",python list split chunks
How do I parse a string to a float or int?,"2271
votes",python parsing floating-point type-conversion integer
Find current directory and file's directory [duplicate],"2245
votes",python directory
Converting string into datetime,"2204
votes",python datetime
How to delete a file or folder?,"2182
votes",python file-io directory delete-file
How do I get a substring of a string in Python?,"2173
votes",python string substring
How to print colored text in Python?,"2168
votes",python terminal output ansi-colors
Why is “1000000000000000 in range(1000000000000001)” so fast in Python 3?,"2157
votes",python performance python-3.x range python-internals
How to access environment variable values?,"2151
votes",python environment-variables
How do you change the size of figures drawn with matplotlib?,"2096
votes",python graph matplotlib plot visualization
Getting the last element of a list,"2093
votes",python list indexing
Is there a way to run Python on Android?,"2092
votes",android python jython ase android-scripting
How do I lowercase a string in Python?,"2081
votes",python string uppercase lowercase
How to upgrade all Python packages with pip?,"2071
votes",python pip
How to iterate over rows in a DataFrame in Pandas,"2035
votes",python pandas rows dataframe
How to read a file line-by-line into a list?,"2027
votes",python string file readlines
How to select rows from a DataFrame based on column values?,"2015
votes",python pandas dataframe
Are static class variables possible in Python?,"1963
votes",python class oop static class-variables
How do I get the number of elements in a list?,"1951
votes",python list
How do I sort a list of dictionaries by a value of the dictionary?,"1925
votes",python list sorting dictionary data-structures
How to print without newline or space?,"1882
votes",python newline
Renaming columns in pandas,"1864
votes",python pandas replace dataframe rename
Why is reading lines from stdin much slower in C++ than Python?,"1864
votes",python c++ benchmarking iostream getline
How to remove a key from a Python dictionary?,"1812
votes",python dictionary data-structures unset
Determine the type of an object?,"1795
votes",python dictionary types typeof
How to randomly select an item from a list?,"1780
votes",python list random
Why is it string.join(list) instead of list.join(string)?,"1768
votes",python string list
Calling a function of a module by using its name (a string),"1757
votes",python object
Static methods in Python?,"1732
votes",python static-methods
Replacements for switch statement in Python?,"1718
votes",python switch-statement
Limiting floats to two decimal points,"1703
votes",python floating-point rounding precision
How can I remove a trailing newline?,"1699
votes",python newline trailing
How do I install pip on macOS or OS X?,"1675
votes",python macos pip installation
How to know if an object has an attribute in Python,"1653
votes",python attributes
How to leave/exit/deactivate a Python virtualenv,"1629
votes",python virtualenv virtualenvwrapper
How do I check if a string is a number (float)?,"1622
votes",python casting floating-point type-conversion
Meaning of @classmethod and @staticmethod for beginner? [duplicate],"1607
votes",python oop static-methods class-method
How to determine a Python variable's type?,"1594
votes",python types unsigned signed 16-bit
How do you append to a file in Python?,"1592
votes",python file append
How can I count the occurrences of a list item?,"1544
votes",python list count
How can I print literal curly-brace characters in python string and also use .format on it?,"1541
votes",python string format string-formatting curly-braces
How to remove an element from a list by index,"1527
votes",python list
How do you read from stdin?,"1481
votes",python stdin
How to pad zeroes to a string?,"1466
votes",python string zero-padding
Getting the class name of an instance?,"1452
votes",python introspection instanceof python-datamodel
Why can't Python parse this JSON data?,"1443
votes",python json parsing
Importing files from different folder,"1442
votes",python importerror python-import
How to check if the string is empty?,"1434
votes",python string comparison-operators
Delete an element from a dictionary,"1432
votes",python dictionary del
Use of *args and **kwargs [duplicate],"1423
votes",python args kwargs
Hidden features of Python [closed],"1418
votes",python hidden-features
Delete column from pandas DataFrame,"1375
votes",python pandas dataframe
Converting integer to string?,"1370
votes",python string integer
Generate random integers between 0 and 9,"1362
votes",python random integer
How to print to stderr in Python?,"1358
votes",python printing stderr zen-of-python
Reverse a string in Python,"1354
votes",python string
String formatting: % vs. .format,"1350
votes",python performance logging string-formatting f-string
Random string generation with upper case letters and digits,"1349
votes",python string random
Installing specific package versions with pip,"1339
votes",python mysql pip pypi mysql-python
Extracting extension from filename in Python,"1323
votes",python filenames file-extension
Pythonic way to create a long multi-line string,"1322
votes",python string multiline multilinestring
UnicodeEncodeError: 'ascii' codec can't encode character u'\xa0' in position 20: ordinal not in range(128),"1309
votes",python unicode beautifulsoup python-2.x python-unicode
What is the meaning of single and double underscore before an object name?,"1309
votes",python oop naming-conventions
Proper way to declare custom exceptions in modern Python?,"1308
votes",python exception custom-exceptions
What's the canonical way to check for type in Python?,"1295
votes",python types
How can you profile a Python script?,"1293
votes",python performance profiling time-complexity
How can I use threading in Python?,"1290
votes",python multithreading concurrency python-multithreading
Create a dictionary with list comprehension,"1289
votes",python dictionary list-comprehension dictionary-comprehension
Python class inherits object,"1264
votes",python class oop object inheritance
What is the Python 3 equivalent of “python -m SimpleHTTPServer”,"1261
votes",python python-3.x httpserver simplehttpserver
What are the differences between type() and isinstance()?,"1260
votes",python oop inheritance types
Convert two lists into a dictionary,"1258
votes",python list dictionary
How to flush output of print function?,"1232
votes",python python-3.x printing flush
How to measure elapsed time in Python?,"1231
votes",python performance measure timeit
fatal error: Python.h: No such file or directory,"1224
votes",python gcc python-c-api
How do I check what version of Python is running my script?,"1204
votes",python version
Referring to the null object in Python,"1202
votes",python null
Save plot to image file instead of displaying it using Matplotlib,"1174
votes",python matplotlib plot
How do I connect to a MySQL Database in Python?,"1169
votes",python mysql
How to import a module given the full path?,"1168
votes",python configuration python-import python-module
How do I trim whitespace from a string?,"1167
votes",python string trim
Is there a way to create multiline comments in Python?,"1164
votes",python comments documentation
Why does comparing strings using either '==' or 'is' sometimes produce a different result?,"1156
votes",python string comparison identity equality
How do I write JSON data to a file?,"1152
votes",python json
How to find if directory exists in Python,"1152
votes",python directory
How can I represent an 'Enum' in Python?,"1143
votes",python python-3.x enums
What is the purpose of the word 'self'?,"1139
votes",python class oop self
Does Django scale? [closed],"1139
votes",python django web-applications scalability
Use different Python version with virtualenv,"1135
votes",python virtualenv virtualenvwrapper
Selecting multiple columns in a pandas dataframe,"1131
votes",python pandas dataframe select
How to install packages using pip according to the requirements.txt file from a local directory?,"1105
votes",python virtualenv pip
How to terminate a Python script,"1104
votes",python termination
"If Python is interpreted, what are .pyc files?","1096
votes",python compiled interpreted-language pyc
"In Python, how do I determine if an object is iterable?","1096
votes",python iterable
How to prettyprint a JSON file?,"1087
votes",python json formatting pretty-print
Correct way to write line to file?,"1082
votes",python file-io
How can I do a line break (line continuation) in Python?,"1079
votes",python syntax line-breaks long-lines
How do I return multiple values from a function? [closed],"1078
votes",python coding-style return return-value
How do I trim whitespace?,"1076
votes",python string whitespace trim strip
Why do people write the #!/usr/bin/env python shebang on the first line of a Python script?,"1058
votes",python shell shebang
"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?","1055
votes",python virtualenv virtualenvwrapper pyenv python-venv
How to get the ASCII value of a character,"1049
votes",python ascii
How can I reverse a list in Python?,"1045
votes",python list
Find all files in a directory with extension .txt in Python,"1043
votes",python file-io
Get list from pandas DataFrame column headers,"1027
votes",python pandas dataframe
What's the difference between lists and tuples?,"1027
votes",python list tuples
How to get line count of a large file cheaply in Python?,"1027
votes",python text-files line-count
What IDE to use for Python? [closed],"1027
votes",python ide editor
How to get the filename without the extension from a path in Python?,"1025
votes",python string path
How do I parse XML in Python?,"1017
votes",python xml
What is setup.py?,"1017
votes",python python-3.x setup.py pypi python-packaging
Removing duplicates in lists,"1015
votes",python algorithm list duplicates intersection
How to put the legend out of the plot,"1010
votes",python matplotlib legend
How do I create a constant in Python?,"1010
votes",python constants
How can I check for NaN values?,"1009
votes",python math
How can I get a list of locally installed Python modules?,"1004
votes",python module pip
How do I get time of a Python program's execution?,"1002
votes",python time execution-time
Adding new column to existing DataFrame in Python pandas,"1001
votes",python pandas dataframe chained-assignment
What is the difference between old style and new style classes in Python?,"1001
votes",python class oop types new-style-class
